IR,RED
64742.0,67838.0
64788.0,67801.0
64769.0,67843.0
64782.0,67875.0
64759.0,67843.0
64758.0,67867.0
64750.0,67832.0
64729.0,67860.0
64783.0,67841.0
64791.0,67822.0
64776.0,67835.0
64760.0,67875.0
64745.0,67873.0
64776.0,67839.0
64753.0,67840.0
64746.0,67868.0
64759.0,67855.0
64800.0,67837.0
64766.0,67847.0
64793.0,67856.0
64779.0,67879.0
64775.0,67869.0
64754.0,67876.0
64767.0,67890.0
64782.0,67855.0
64782.0,67862.0
64784.0,67883.0
64795.0,67914.0
64776.0,67919.0
64772.0,67905.0
64781.0,67919.0
64774.0,67912.0
64790.0,67916.0
64802.0,67926.0
64835.0,67912.0
64840.0,67936.0
64802.0,67976.0
64803.0,67953.0
64807.0,67966.0
64790.0,67969.0
64817.0,67969.0
64817.0,67961.0
64827.0,67945.0
64840.0,67973.0
64809.0,68014.0
64812.0,68013.0
64817.0,67988.0
64806.0,67991.0
64829.0,67987.0
64854.0,67977.0
64846.0,67989.0
64817.0,68007.0
64829.0,68013.0
64826.0,67996.0
64810.0,67996.0
64817.0,67995.0
64846.0,68002.0
64860.0,67971.0
64843.0,68017.0
64836.0,68016.0
64815.0,68010.0
64815.0,68012.0
64812.0,67976.0
64826.0,67968.0
64843.0,67987.0
64825.0,67984.0
64833.0,67994.0
64816.0,67997.0
64817.0,67998.0
64793.0,67998.0
64817.0,67986.0
64851.0,67966.0
64848.0,67972.0
64832.0,67997.0
64830.0,68006.0
64834.0,68004.0
64823.0,67999.0
64797.0,67990.0
64839.0,67981.0
64860.0,67967.0
64844.0,67966.0
64834.0,67991.0
64829.0,67980.0
64810.0,67995.0
64815.0,68001.0
64814.0,67982.0
64852.0,67976.0
64835.0,67985.0
64823.0,67985.0
64847.0,68015.0
64826.0,68007.0
64831.0,68022.0
64818.0,67986.0
64811.0,67992.0
64838.0,67986.0
64862.0,67983.0
64844.0,67984.0
64846.0,68048.0
64820.0,68021.0
64829.0,68034.0
64811.0,68007.0
64829.0,68026.0
64866.0,67993.0
64850.0,68013.0
64856.0,68029.0
64841.0,68046.0
64854.0,68042.0
64830.0,68029.0
64838.0,68020.0
64847.0,68039.0
64868.0,68014.0
64865.0,68035.0
64852.0,68048.0
64863.0,68034.0
64855.0,68052.0
64838.0,68043.0
64845.0,68059.0
64837.0,68052.0
64897.0,68068.0
64883.0,68034.0
64868.0,68071.0
64861.0,68089.0
64844.0,68053.0
64855.0,68088.0
64849.0,68089.0
64857.0,68064.0
64901.0,68088.0
64883.0,68072.0
64898.0,68098.0
64878.0,68122.0
64891.0,68111.0
64891.0,68107.0
64865.0,68112.0
64867.0,68107.0
64915.0,68114.0
